CTDID,Region,Year,Mission,Latitude,Longitude,SiteID,ESTDate,UTCDate,EST.Time,UTCTime,Sample_Depth_m,DIC,TA,pH,pCO2,Aragonite_Sat_W,Salinity_Bottle,Conductivity_Sm,Salinity_CTD,Temperature_C,Pressure_db,Density_Sigmat,SiteID.1,Survey_design,Sample_frequency,Date,Zone,Sub_region
calval_apr2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,04/04/12,04/04/12,09:34:00 AM,01:34:00 PM,0,1986.82,2360.91,8.125,320.9,4.18,NA,NA,35.73,26.23,0,NA,CalVal_N,Permanent,Single,2012-04-04,Inshore,UK
calval_apr2012,FLK,2012,CalVal,24.9052,-80.6266,Transect 1,04/20/12,04/20/12,11:00:00 AM,03:00:00 PM,0,1795.09,2254.41,8.258,203.6,4.96,NA,NA,36.1,26.42,0,NA,Transect 1,Permanent,Single,2012-04-20,Inshore,UK
calval_apr2012,FLK,2012,CalVal,24.8854666666667,-80.6041,Transect 2,04/20/12,04/20/12,11:20:00 AM,03:20:00 PM,0,2026.09,2376.46,8.103,347.1,3.95,NA,NA,35.35,25.48,0,NA,Transect 2,Permanent,Single,2012-04-20,Mid channel,UK
calval_apr2012,FLK,2012,CalVal,24.8547,-80.5674166666667,Transect 4,04/20/12,04/20/12,12:40:00 PM,04:40:00 PM,0,2027.67,2367.81,8.08,367.7,3.84,NA,NA,35.57,25.83,0,NA,Transect 4,Permanent,Single,2012-04-20,Oceanic,UK
calval_apr2012,FLK,2012,CalVal,24.8547,-80.5674166666667,Transect 4,04/20/12,04/20/12,01:06:00 PM,05:06:00 PM,0,2030.37,2369.11,8.075,373.4,3.83,NA,NA,35.55,26.04,0,NA,Transect 4,Permanent,Single,2012-04-20,Oceanic,UK
calval_apr2012,FLK,2012,CalVal,24.8694,-80.585,Transect 3,04/20/12,04/20/12,01:22:00 PM,05:22:00 PM,0,2033.94,2364.56,8.067,381.8,3.73,NA,NA,35.56,25.77,0,NA,Transect 3,Permanent,Single,2012-04-20,Offshore,UK
calval_may2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,05/04/12,05/04/12,12:00:00 PM,04:00:00 PM,0,2040.61,2336.51,8.027,425.1,3.38,NA,NA,34.89,25.47,0,NA,CalVal_N,Permanent,Single,2012-05-04,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8981833333333,-80.6160666666667,ADCP_NE,05/04/12,05/04/12,12:10:00 PM,04:10:00 PM,0,2037.66,2331.21,8.026,425.5,3.36,NA,NA,34.78,25.4,0,NA,ADCP_NE,Permanent,Single,2012-05-04,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8966333333333,-80.6153,CalVal_SE,05/04/12,05/04/12,12:20:00 PM,04:20:00 PM,0,2048.19,2334.81,8.009,446.5,3.28,NA,NA,35,25.55,0,NA,CalVal_SE,Permanent,Single,2012-05-04,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8955833333333,-80.6166333333333,CalVal_S,05/04/12,05/04/12,12:32:00 PM,04:32:00 PM,0,2045.15,2332.46,8.01,444.9,3.29,NA,NA,34.91,25.65,0,NA,CalVal_S,Permanent,Single,2012-05-04,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8964666666667,-80.6182,ADCP_S,05/04/12,05/04/12,12:40:00 PM,04:40:00 PM,0,2035.16,2322.51,8.014,439,3.29,NA,NA,34.83,25.59,0,NA,ADCP_S,Permanent,Single,2012-05-04,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,05/15/12,05/15/12,09:15:00 AM,01:15:00 PM,0,1952.37,2336.01,8.126,316.2,4.35,NA,NA,35,28,0,NA,CalVal_N,Permanent,Single,2012-05-15,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8981833333333,-80.6160666666667,ADCP_NE,05/15/12,05/15/12,09:28:00 AM,01:28:00 PM,0,1948.6,2333.46,8.103,331.7,4.23,NA,NA,37.2,27.9,0,NA,ADCP_NE,Permanent,Single,2012-05-15,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8955833333333,-80.6166333333333,CalVal_S,05/15/12,05/15/12,09:40:00 AM,01:40:00 PM,0,1948.41,2325.76,8.093,340.2,4.15,NA,NA,37.2,27.9,0,NA,CalVal_S,Permanent,Single,2012-05-15,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8955833333333,-80.6166333333333,CalVal_S,05/15/12,05/15/12,09:55:00 AM,01:55:00 PM,0,1949.12,2317.66,8.077,354.1,4.05,NA,NA,37.4,28,0,NA,CalVal_S,Permanent,Single,2012-05-15,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8966333333333,-80.6153,CalVal_SE,05/15/12,05/15/12,10:05:00 AM,02:05:00 PM,0,1950.24,2331.21,8.094,339.3,4.18,NA,NA,37.5,27.9,0,NA,CalVal_SE,Permanent,Single,2012-05-15,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8964666666667,-80.6182,ADCP_S,05/15/12,05/15/12,10:15:00 AM,02:15:00 PM,0,1934.16,2307.61,8.091,339.2,4.13,NA,NA,37.4,28,0,NA,ADCP_S,Permanent,Single,2012-05-15,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,05/15/12,05/15/12,10:35:00 AM,02:35:00 PM,0,1935.43,2315.11,8.097,333.4,4.19,NA,NA,37.5,28,0,NA,CalVal_N,Permanent,Single,2012-05-15,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8547,-80.5674166666667,Transect 4,05/21/12,05/21/12,10:50:00 AM,02:50:00 PM,0,1948.67,2362.56,8.065,365.2,3.83,NA,NA,37.1,28,0,NA,Transect 4,Permanent,Single,2012-05-21,Oceanic,UK
calval_may2012,FLK,2012,CalVal,24.8694,-80.585,Transect 3,05/21/12,05/21/12,11:05:00 AM,03:05:00 PM,0,1913.25,2360.61,8.014,410,3.43,NA,NA,37.3,28.6,0,NA,Transect 3,Permanent,Single,2012-05-21,Offshore,UK
calval_may2012,FLK,2012,CalVal,24.8854666666667,-80.6041,Transect 2,05/21/12,05/21/12,11:20:00 AM,03:20:00 PM,0,NA,2298.46,NA,NA,NA,NA,NA,37.3,27.2,0,NA,Transect 2,Permanent,Single,2012-05-21,Mid channel,UK
calval_may2012,FLK,2012,CalVal,24.9052,-80.6266,Transect 1,05/21/12,05/21/12,11:45:00 AM,03:45:00 PM,0,NA,2223.76,NA,NA,NA,NA,NA,36.7,27.7,0,NA,Transect 1,Permanent,Single,2012-05-21,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,05/28/12,05/28/12,12:18:00 PM,04:18:00 PM,0,1863.72,2232.66,8.089,330.8,4.07,NA,NA,36.4,29.1,0,NA,CalVal_N,Permanent,Single,2012-05-28,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8955833333333,-80.6166333333333,CalVal_S,05/28/12,05/28/12,12:30:00 PM,04:30:00 PM,0,1871.11,2246.16,8.087,334.5,4.11,NA,NA,36.4,29.3,0,NA,CalVal_S,Permanent,Single,2012-05-28,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8966333333333,-80.6153,CalVal_SE,05/28/12,05/28/12,12:37:00 PM,04:37:00 PM,0,1877.62,2252.51,8.085,336.9,4.11,NA,NA,36.4,29.3,0,NA,CalVal_SE,Permanent,Single,2012-05-28,Inshore,UK
calval_may2012,FLK,2012,CalVal,24.8981833333333,-80.6160666666667,ADCP_NE,05/28/12,05/28/12,12:45:00 PM,04:45:00 PM,0,1864.01,2242.26,8.092,328.5,4.14,NA,NA,36.6,29.2,0,NA,ADCP_NE,Permanent,Single,2012-05-28,Inshore,UK
calval_may2012,FLK,2012,CalVal,NA,NA,ADCP_SW,05/28/12,05/28/12,12:55:00 PM,04:55:00 PM,0,1862.47,2242.21,8.099,321.2,4.18,NA,NA,36.4,29.3,0,NA,ADCP_SW,Permanent,Single,2012-05-28,Inshore,UK
calval_jun2012,FLK,2012,CalVal,NA,NA,ADCP_S,06/12/12,06/12/12,11:05:00 AM,03:05:00 PM,0,1920.34,2280.01,8.063,362.7,4.03,NA,NA,36.9,29.3,0,NA,ADCP_S,Permanent,Single,2012-06-12,Inshore,UK
calval_jun2012,FLK,2012,CalVal,24.8955833333333,-80.6166333333333,CalVal_S,06/12/12,06/12/12,11:20:00 AM,03:20:00 PM,0,1909.64,2287.86,8.075,350.6,4.14,NA,NA,37,29.4,0,NA,CalVal_S,Permanent,Single,2012-06-12,Inshore,UK
calval_jun2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,06/12/12,06/12/12,11:30:00 AM,03:30:00 PM,0,1912.7,2276.86,8.044,382,3.91,NA,NA,37,29.4,0,NA,CalVal_N,Permanent,Single,2012-06-12,Inshore,UK
calval_jun2012,FLK,2012,CalVal,24.8966333333333,-80.6153,CalVal_SE,06/12/12,06/12/12,11:45:00 AM,03:45:00 PM,0,1914.06,2288.46,8.069,356.7,4.1,NA,NA,37,29.4,0,NA,CalVal_SE,Permanent,Single,2012-06-12,Inshore,UK
calval_jun2012,FLK,2012,CalVal,NA,NA,ADCP_NE,06/12/12,06/12/12,11:55:00 AM,03:55:00 PM,0,1916.96,2289.31,8.065,361.3,4.08,NA,NA,37.1,29.4,0,NA,ADCP_NE,Permanent,Single,2012-06-12,Inshore,UK
calval_jun2012,FLK,2012,CalVal,24.8547,-80.5674166666667,Transect 4,06/22/12,06/22/12,12:20:00 PM,04:20:00 PM,0,1976.63,2363.86,8.039,405,3.89,NA,NA,37.1,28.2,0,NA,Transect 4,Permanent,Single,2012-06-22,Oceanic,UK
calval_jun2012,FLK,2012,CalVal,24.8694,-80.585,Transect 3,06/22/12,06/22/12,12:40:00 PM,04:40:00 PM,0,2012.27,2360.71,8.028,417.5,3.81,NA,NA,37.2,28.2,0,NA,Transect 3,Permanent,Single,2012-06-22,Offshore,UK
calval_jun2012,FLK,2012,CalVal,24.8854666666667,-80.6041,Transect 2,06/22/12,06/22/12,12:55:00 PM,04:55:00 PM,0,2015.96,2366.26,8.03,415.6,3.81,NA,NA,37.3,27.9,0,NA,Transect 2,Permanent,Single,2012-06-22,Mid channel,UK
calval_jun2012,FLK,2012,CalVal,24.9052,-80.6266,Transect 1,06/22/12,06/22/12,01:32:00 PM,05:32:00 PM,0,2021.44,2342.81,8.067,369.2,3.99,NA,NA,37.5,27.7,0,NA,Transect 1,Permanent,Single,2012-06-22,Inshore,UK
calval_jul2012,FLK,2012,CalVal,NA,NA,ADCP_SW,07/07/12,07/07/12,03:15:00 PM,07:15:00 PM,0,1961.07,2324.71,8.032,402.8,4.02,NA,NA,37.2,30.2,0,NA,ADCP_SW,Permanent,Single,2012-07-07,Inshore,UK
calval_jul2012,FLK,2012,CalVal,24.8955833333333,-80.6166333333333,CalVal_S,07/07/12,07/07/12,03:30:00 PM,07:30:00 PM,0,1961.31,2331.11,8.034,401.1,4.07,NA,NA,37.3,30.4,0,NA,CalVal_S,Permanent,Single,2012-07-07,Inshore,UK
calval_jul2012,FLK,2012,CalVal,24.8966333333333,-80.6153,CalVal_SE,07/07/12,07/07/12,03:40:00 PM,07:40:00 PM,0,1965.63,2323.86,8.016,421.7,3.94,NA,NA,37.3,30.4,0,NA,CalVal_SE,Permanent,Single,2012-07-07,Inshore,UK
calval_jul2012,FLK,2012,CalVal,24.8981833333333,-80.6160666666667,ADCP_NE,07/07/12,07/07/12,03:50:00 PM,07:50:00 PM,0,1961.35,2322.86,8.035,398.1,4.07,NA,NA,37.2,30.4,0,NA,ADCP_NE,Permanent,Single,2012-07-07,Inshore,UK
calval_jul2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,07/07/12,07/07/12,04:00:00 PM,08:00:00 PM,0,1968.92,2324.56,8.034,399.2,4.07,NA,NA,37.3,30.4,0,NA,CalVal_N,Permanent,Single,2012-07-07,Inshore,UK
calval_jul2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,07/07/12,07/07/12,04:05:00 PM,08:05:00 PM,0,1967.15,2328.36,8.039,394.4,4.11,NA,NA,37.3,30.4,0,NA,CalVal_N,Permanent,Single,2012-07-07,Inshore,UK
calval_jul2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,07/23/12,07/23/12,12:44:00 PM,04:44:00 PM,0,1952.14,2327.86,8.062,370.9,4.18,NA,NA,36.9,29.8,0,NA,CalVal_N,Permanent,Single,2012-07-23,Inshore,UK
calval_jul2012,FLK,2012,CalVal,24.8981833333333,-80.6160666666667,ADCP_NE,07/23/12,07/23/12,12:55:00 PM,04:55:00 PM,0,1956.22,2323.26,8.065,367.7,4.17,NA,NA,36.8,29.7,0,NA,ADCP_NE,Permanent,Single,2012-07-23,Inshore,UK
calval_jul2012,FLK,2012,CalVal,24.8981833333333,-80.6160666666667,ADCP_NE,07/23/12,07/23/12,01:05:00 PM,05:05:00 PM,0,1959,2329.06,8.055,380.4,4.12,NA,NA,36.6,29.8,0,NA,ADCP_NE,Permanent,Single,2012-07-23,Inshore,UK
calval_jul2012,FLK,2012,CalVal,24.8966333333333,-80.6153,CalVal_SE,07/23/12,07/23/12,01:15:00 PM,05:15:00 PM,0,1957.34,2341.61,8.056,379.1,4.15,NA,NA,37.1,29.7,0,NA,CalVal_SE,Permanent,Single,2012-07-23,Inshore,UK
calval_jul2012,FLK,2012,CalVal,24.8955833333333,-80.6166333333333,CalVal_S,07/23/12,07/23/12,01:25:00 PM,05:25:00 PM,0,1950.98,2332.36,8.052,382.8,4.11,NA,NA,37,29.8,0,NA,CalVal_S,Permanent,Single,2012-07-23,Inshore,UK
calval_jul2012,FLK,2012,CalVal,NA,NA,ADCP_SW,07/23/12,07/23/12,01:35:00 PM,05:35:00 PM,0,1964.29,2325.11,8.054,379,4.12,NA,NA,37,29.8,0,NA,ADCP_SW,Permanent,Single,2012-07-23,Inshore,UK
calval_aug2012,FLK,2012,CalVal,24.8547,-80.5674166666667,Transect 4,08/01/12,08/01/12,09:45:00 AM,01:45:00 PM,0,1966.4,2366.71,8.009,440.4,3.86,NA,NA,37,29.6,0,NA,Transect 4,Permanent,Single,2012-08-01,Oceanic,UK
calval_aug2012,FLK,2012,CalVal,24.8694,-80.585,Transect 3,08/01/12,08/01/12,10:00:00 AM,02:00:00 PM,0,2019.72,2340.46,8,447.4,3.81,NA,NA,36.7,30.1,0,NA,Transect 3,Permanent,Single,2012-08-01,Offshore,UK
calval_aug2012,FLK,2012,CalVal,24.8854666666667,-80.6041,Transect 2,08/01/12,08/01/12,10:15:00 AM,02:15:00 PM,0,1872.65,2338.21,8.04,395,4.18,NA,NA,37.2,30.8,0,NA,Transect 2,Permanent,Single,2012-08-01,Mid channel,UK
calval_aug2012,FLK,2012,CalVal,24.8854666666667,-80.6041,Transect 2,08/01/12,08/01/12,10:25:00 AM,02:25:00 PM,0,1999.7,2350.21,8.052,382.2,4.33,NA,NA,37.3,31.1,0,NA,Transect 2,Permanent,Single,2012-08-01,Mid channel,UK
calval_aug2012,FLK,2012,CalVal,24.9052,-80.6266,Transect 1,08/01/12,08/01/12,10:50:00 AM,02:50:00 PM,0,1959.02,2205.41,7.974,446.8,3.64,NA,NA,37.4,31.9,0,NA,Transect 1,Permanent,Single,2012-08-01,Inshore,UK
calval_aug2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,08/14/12,08/14/12,01:10:00 PM,05:10:00 PM,0,1886.87,2251.06,8.048,371.7,4.06,NA,NA,36.8,30.8,0,NA,CalVal_N,Permanent,Single,2012-08-14,Inshore,UK
calval_aug2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,08/14/12,08/14/12,01:20:00 PM,05:20:00 PM,0,1882.53,2250.26,8.051,368,4.09,NA,NA,36.9,30.9,0,NA,CalVal_N,Permanent,Single,2012-08-14,Inshore,UK
calval_aug2012,FLK,2012,CalVal,NA,NA,ADCP_NE,08/14/12,08/14/12,01:30:00 PM,05:30:00 PM,0,1870.03,2255.66,8.079,340,4.29,NA,NA,36.7,30.9,0,NA,ADCP_NE,Permanent,Single,2012-08-14,Inshore,UK
calval_aug2012,FLK,2012,CalVal,24.8966333333333,-80.6153,CalVal_SE,08/14/12,08/14/12,01:37:00 PM,05:37:00 PM,0,1898.45,2267.46,8.05,372.1,4.12,NA,NA,36.9,30.9,0,NA,CalVal_SE,Permanent,Single,2012-08-14,Inshore,UK
calval_aug2012,FLK,2012,CalVal,24.8955833333333,-80.6166333333333,CalVal_S,08/14/12,08/14/12,01:50:00 PM,05:50:00 PM,0,1899.48,2271.31,8.057,366,4.16,NA,NA,36.6,30.9,0,NA,CalVal_S,Permanent,Single,2012-08-14,Inshore,UK
calval_aug2012,FLK,2012,CalVal,NA,NA,ADCP_S,08/14/12,08/14/12,02:00:00 PM,06:00:00 PM,0,1877.33,2249.26,8.057,360.9,4.13,NA,NA,36.9,30.9,0,NA,ADCP_S,Permanent,Single,2012-08-14,Inshore,UK
calval_aug2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,08/22/12,08/22/12,02:39:00 PM,06:39:00 PM,0,1890.59,2279.41,8.076,348.1,4.39,NA,NA,36.2,31.6,0,NA,CalVal_N,Permanent,Single,2012-08-22,Inshore,UK
calval_aug2012,FLK,2012,CalVal,NA,NA,ADCP_NE,08/22/12,08/22/12,02:50:00 PM,06:50:00 PM,0,1886.14,2274.06,8.073,349.5,4.36,NA,NA,36.4,31.6,0,NA,ADCP_NE,Permanent,Single,2012-08-22,Inshore,UK
calval_aug2012,FLK,2012,CalVal,NA,NA,ADCP_NE,08/22/12,08/22/12,02:59:00 PM,06:59:00 PM,0,1881.52,2254.91,8.053,367,4.2,NA,NA,36.4,31.7,0,NA,ADCP_NE,Permanent,Single,2012-08-22,Inshore,UK
calval_aug2012,FLK,2012,CalVal,24.8966333333333,-80.6153,CalVal_SE,08/22/12,08/22/12,03:09:00 PM,07:09:00 PM,0,1883.77,2253.61,8.048,372.3,4.16,NA,NA,36.4,31.7,0,NA,CalVal_SE,Permanent,Single,2012-08-22,Inshore,UK
calval_aug2012,FLK,2012,CalVal,24.8955833333333,-80.6166333333333,CalVal_S,08/22/12,08/22/12,03:19:00 PM,07:19:00 PM,0,1977.47,2291.16,7.954,497.8,3.61,NA,NA,36.4,31.7,0,NA,CalVal_S,Permanent,Single,2012-08-22,Inshore,UK
calval_aug2012,FLK,2012,CalVal,NA,NA,ADCP_S,08/22/12,08/22/12,03:28:00 PM,07:28:00 PM,0,1886.75,2272.51,8.068,353.6,4.34,NA,NA,36.4,31.7,0,NA,ADCP_S,Permanent,Single,2012-08-22,Inshore,UK
calval_sep2012,FLK,2012,CalVal,NA,NA,ADCP_S,09/06/12,09/06/12,02:00:00 PM,06:00:00 PM,0,2051.14,2371.11,7.972,493.3,3.71,NA,NA,36.2,30.5,0,NA,ADCP_S,Permanent,Single,2012-09-06,Inshore,UK
calval_sep2012,FLK,2012,CalVal,NA,NA,ADCP_N,09/06/12,09/06/12,02:22:00 PM,06:22:00 PM,0,2046.97,2394.56,8.006,450.9,4.01,NA,NA,36.4,30.7,0,NA,ADCP_N,Permanent,Single,2012-09-06,Inshore,UK
calval_sep2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,09/06/12,09/06/12,02:36:00 PM,06:36:00 PM,0,2028.23,2388.36,7.992,467.1,3.92,NA,NA,36.4,30.8,0,NA,CalVal_N,Permanent,Single,2012-09-06,Inshore,UK
calval_sep2012,FLK,2012,CalVal,24.8966333333333,-80.6153,CalVal_SE,09/06/12,09/06/12,02:52:00 PM,06:52:00 PM,0,2049.12,2394.01,8.031,418.6,4.19,NA,NA,36.6,30.7,0,NA,CalVal_SE,Permanent,Single,2012-09-06,Inshore,UK
calval_sep2012,FLK,2012,CalVal,24.8955833333333,-80.6166333333333,CalVal_S,09/06/12,09/06/12,03:03:00 PM,07:03:00 PM,0,2032.1,2399.06,8.031,418.9,4.21,NA,NA,36.5,30.8,0,NA,CalVal_S,Permanent,Single,2012-09-06,Inshore,UK
calval_sep2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,09/22/12,09/22/12,04:10:00 PM,08:10:00 PM,0,2059.65,2372.54,7.971,494.7,3.57,NA,NA,36.6,29.2,0,NA,CalVal_N,Permanent,Single,2012-09-22,Inshore,UK
calval_sep2012,FLK,2012,CalVal,24.8981833333333,-80.6160666666667,ADCP_NE,09/22/12,09/22/12,04:18:00 PM,08:18:00 PM,0,2060.96,2373.31,7.971,494,3.58,NA,NA,36.6,29.3,0,NA,ADCP_NE,Permanent,Single,2012-09-22,Inshore,UK
calval_sep2012,FLK,2012,CalVal,24.8966333333333,-80.6153,CalVal_SE,09/22/12,09/22/12,04:25:00 PM,08:25:00 PM,0,2066.89,2390.3,7.988,475.1,3.71,NA,NA,36.5,29.3,0,NA,CalVal_SE,Permanent,Single,2012-09-22,Inshore,UK
calval_sep2012,FLK,2012,CalVal,24.8955833333333,-80.6166333333333,CalVal_S,09/22/12,09/22/12,04:32:00 PM,08:32:00 PM,0,2061.12,2381.41,7.984,479,3.67,NA,NA,36.6,29.3,0,NA,CalVal_S,Permanent,Single,2012-09-22,Inshore,UK
calval_sep2012,FLK,2012,CalVal,24.8964666666667,-80.6182,ADCP_S,09/22/12,09/22/12,04:40:00 PM,08:40:00 PM,0,2061.67,2382.39,7.987,474.5,3.7,NA,NA,36.6,29.3,0,NA,ADCP_S,Permanent,Single,2012-09-22,Inshore,UK
calval_oct2012,FLK,2012,CalVal,24.8547,-80.5674166666667,Transect 4,10/04/12,10/04/12,11:10:00 AM,03:10:00 PM,0,2123.97,2363.54,8.045,400.4,3.96,NA,NA,36.2,28.7,0,NA,Transect 4,Permanent,Single,2012-10-04,Oceanic,UK
calval_oct2012,FLK,2012,CalVal,24.8694,-80.585,Transect 3,10/04/12,10/04/12,11:30:00 AM,03:30:00 PM,0,2075.53,2368.23,8.016,435.9,3.79,NA,NA,36.3,28.8,0,NA,Transect 3,Permanent,Single,2012-10-04,Offshore,UK
calval_oct2012,FLK,2012,CalVal,24.8854666666667,-80.6041,Transect 2,10/04/12,10/04/12,11:45:00 AM,03:45:00 PM,0,2035.5,2382.12,7.967,503.6,3.53,NA,NA,36.5,29,0,NA,Transect 2,Permanent,Single,2012-10-04,Mid channel,UK
calval_oct2012,FLK,2012,CalVal,24.9052,-80.6266,Transect 1,10/04/12,10/04/12,12:00:00 PM,04:00:00 PM,0,2014.2,2383.39,7.886,632.9,3.08,NA,NA,36,29.4,0,NA,Transect 1,Permanent,Single,2012-10-04,Inshore,UK
calval_oct2012,FLK,2012,CalVal,24.8981833333333,-80.6160666666667,ADCP_NE,10/04/12,10/04/12,12:35:00 PM,04:35:00 PM,0,2113.66,2388.46,7.905,598.6,3.21,NA,NA,36.6,29.4,0,NA,ADCP_NE,Permanent,Single,2012-10-04,Inshore,UK
calval_oct2012,FLK,2012,CalVal,24.8982666666667,-80.6173833333333,CalVal_N,10/04/12,10/04/12,12:45:00 PM,04:45:00 PM,0,2116.04,2388.96,7.902,605.1,3.2,NA,NA,36.5,29.5,0,NA,CalVal_N,Permanent,Single,2012-10-04,Inshore,UK
calval_oct2012,FLK,2012,CalVal,NA,NA,ADCP_S,10/04/12,10/04/12,12:55:00 PM,04:55:00 PM,0,2119,2386.17,7.891,622.3,3.14,NA,NA,36.6,29.5,0,NA,ADCP_S,Permanent,Single,2012-10-04,Inshore,UK
calval_oct2012,FLK,2012,CalVal,24.8966333333333,-80.6153,CalVal_SE,10/04/12,10/04/12,01:05:00 PM,05:05:00 PM,0,2111.88,2387.7,7.906,596.8,3.22,NA,NA,36.7,29.4,0,NA,CalVal_SE,Permanent,Single,2012-10-04,Inshore,UK
calval_oct2012,FLK,2012,CalVal,24.8955833333333,-80.6166333333333,CalVal_S,10/04/12,10/04/12,01:15:00 PM,05:15:00 PM,0,2115.36,2389.18,7.904,601.8,3.2,NA,NA,36.6,29.4,0,NA,CalVal_S,Permanent,Single,2012-10-04,Inshore,UK
calval_oct2012,FLK,2012,CalVal,NA,NA,ADCP_S,10/31/12,10/31/12,10:42:00 AM,02:42:00 PM,0,2189.64,2475.87,8.007,475.6,3.15,NA,NA,35.9,22.3,0,NA,ADCP_S,Permanent,Single,2012-10-31,Inshore,UK
