ESTDate,EST Time,SiteID,Temperature_C,Salinity,TA,DIC,Aragonite_Sat_W,pCO2,pH
3/8/10,8:26 PM,8,20.64,36.24,2386.83,2065.2,3.52,335.9,8.117
3/8/10,8:58 PM,9,20.54,36.45,2390.38,2078.91,3.41,353.6,8.099
9/2/10,,,,33.33,3.13,0.245,,,
3/8/10,9:48 PM,9.5,21.24,36.38,2408.08,2067.29,3.73,322.7,8.134
3/8/10,10:55 PM,12,20.24,36.29,2413.73,2073.49,3.71,311.3,8.148
3/8/10,11:14 PM,11,19.94,36.39,2408.63,2071.995,3.66,312,8.147
3/8/10,11:48 PM,10,17.9,34.98,2724.33,2334.335,4.42,287.1,8.227
3/9/10,1:39 AM,16,17.64,36.19,2481.23,2176.96,3.35,347.8,8.121
3/9/10,1:08 AM,17,17.91,35.23,2678.78,2310.755,4.16,304.8,8.199
3/9/10,12:45 AM,18,19.19,35.03,2722.78,2339.885,4.37,311.9,8.196
3/9/10,3:14 AM,19,18.17,36.43,2510.08,2162.605,3.8,302,8.175
3/9/10,3:39 AM,20,19.39,36.39,2479.03,2184.395,3.27,392.3,8.077
3/9/10,3:55 AM,21,19.88,36.51,2454.28,2137.075,3.49,354.6,8.108
9/3/10,,,,33.33,4.43,,,,
3/9/10,4:25 AM,21.5,22.79,36.5,2417.63,2064.175,3.89,328.8,8.127
3/9/10,11:06 AM,22.5,22.33,36.52,2420.98,2084.405,3.71,349.1,8.107
3/9/10,11:59 AM,23,18.58,36.45,2430.33,2120.935,3.38,340.8,8.12
3/9/10,12:33 PM,24,17.92,36.21,2459.03,2178.435,3.11,386.4,8.08
9/7/10,,,,33.33,18.73,,,,
7/15/10,,,,33.08,,-1.915,,,
6/29/10,11:16 AM,1,30.35,36.5,2142.38,1786.825,3.89,337.9,8.064
6/29/10,11:54 AM,3,29.67,36.3,2364.58,2054.335,3.58,498,7.968
6/29/10,5:55 PM,5.5,30.12,36.32,2395.18,2016.705,4.32,385.1,8.061
6/29/10,6:23 PM,6,29.73,36.27,2372.23,2038.135,3.83,450.5,8.004
6/29/10,11:06 PM,7,30.4,37.13,2188.08,1767.625,4.55,270,8.144
6/29/10,11:19 PM,8,29.71,36.31,2389.78,2030.215,4.11,409,8.04
6/29/10,11:50 PM,9,29.59,36.23,2391.28,2045.015,3.97,431.2,8.023
6/30/10,12:49 AM,9.5,29.72,36.13,2388.48,2054.475,3.85,455.4,8.003
6/30/10,2:46 AM,10,30,36.65,2375.03,2003.435,4.21,390.9,8.052
6/30/10,3:05 AM,11,29.93,36.51,2372.78,2050.275,3.71,481.6,7.98
6/30/10,5:53 AM,13,29.99,36.68,2324.68,1981.045,3.89,422.2,8.018
6/30/10,6:12 AM,14,30.13,36.81,2310.18,1914.015,4.41,333.7,8.095
6/30/10,7:51 AM,16,30.07,37.17,2208.48,1847.775,3.95,355.4,8.056
