Zone,Region,Season,Tem_M,Tem_sd,Tem_se,Sal_M,Sal_sd,Sal_se,TA_M,TA_sd,TA_se,DIC_M,DIC_sd,DIC_se,pCO2_M,pCO2_sd,pCO2_se,pH_M,pH_sd,pH_se,Ara_M,Ara_sd,Ara_se
Oceanic,UK,Winter,24.81,1.37,0.79,36.14,0.1,0.06,2378.81,4.1,2.37,2047.94,8.17,4.71,377.41,15.36,8.87,8.07,0.02,0.01,3.7,0.07,0.04
,,Spring,26.74,1.52,0.88,36.31,0.18,0.1,2386.8,8.14,4.7,2043.07,3.42,1.98,389.85,20.78,12,8.06,0.02,0.01,3.87,0.08,0.05
,,Summer,30.34,0.21,0.12,35.5,0.74,0.43,2384.39,23.87,13.78,2041.4,10.68,6.16,441.85,12.87,7.43,8.02,0.02,0.01,3.99,0.11,0.07
,,Fall,27.69,1.85,1.07,35.77,0.45,0.26,2379.84,7.96,4.59,2054.36,15.1,8.72,433.17,35.11,20.27,8.03,0.03,0.02,3.73,0.18,0.1
,MK,Winter,24.9,1,0.58,36.18,0.19,0.11,2380.53,2.95,1.7,2049.53,5.64,3.26,379.58,18.29,10.56,8.07,0.02,0.01,3.7,0.02,0.01
,,Spring,27.18,1.25,0.72,36.37,0.03,0.02,2385.66,5.54,3.2,2050.92,10.89,6.29,413.31,4.62,2.66,8.04,0.01,0,3.78,0.11,0.07
,,Summer,30.2,0.15,0.08,35.65,0.31,0.18,2382.26,10.89,6.28,2042.36,4.51,2.6,446.04,9.28,5.36,8.01,0.01,0.01,3.95,0.07,0.04
,,Fall,27.58,1.87,1.08,35.94,0.39,0.22,2381.06,4.38,2.53,2047.95,1.67,0.97,418.03,19.09,11.02,8.03,0.02,0.01,3.79,0.12,0.07
,LK,Winter,24.66,1.37,0.79,36.26,0.14,0.08,2382.67,5.2,3,2052.73,9.31,5.37,379.57,17.94,10.36,8.07,0.02,0.01,3.68,0.06,0.03
,,Spring,27.06,1.22,0.71,36.33,0.07,0.04,2381.67,5.66,3.27,2049.74,6.62,3.82,414.49,7.45,4.3,8.04,0.01,0,3.75,0.11,0.06
,,Summer,30.19,0.2,0.11,35.55,0.41,0.24,2379.21,7.2,4.16,2044.49,4.36,2.52,451.87,15.3,8.84,8.01,0.02,0.01,3.91,0.09,0.05
,,Fall,27.62,1.61,0.93,35.78,0.29,0.17,2380.19,4.38,2.53,2050.43,9.7,5.6,423.46,24.38,14.07,8.03,0.02,0.01,3.77,0.1,0.06
