"Zone","Sub_region","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"Offshore","UK","DIC_umol_kg",0.438744583625346,0.0508864854654503,8.62202566383237,8.982265750269e-14,0.421569754195697,0.41589886943291,11.6956469366879,74.3393265477841,8.98226575026881e-14,1,-402.318405440248,810.636810880495,818.56998357792,13952.3920413011,102,104
"Offshore","MK","(Intercept)",943.292353365874,81.5647792140782,11.5649470574802,4.30266692669698e-21,0.724501458227231,0.722146769836011,14.6234606004356,307.684643508936,1.52230535779033e-34,1,-487.077815140762,980.155630281524,988.493000760858,25019.9351921017,117,119
"Offshore","MK","DIC_umol_kg",0.701103731307986,0.0399695600400444,17.5409419219418,1.5223053577904e-34,0.724501458227231,0.722146769836011,14.6234606004356,307.684643508936,1.52230535779033e-34,1,-487.077815140762,980.155630281524,988.493000760858,25019.9351921017,117,119
"Offshore","LK","(Intercept)",1344.35922588583,84.3473903989623,15.9383618097374,1.76768393761893e-34,0.490885393864384,0.487600783502218,12.7271219648751,149.450114241491,1.72173242628854e-24,1,-621.133368418892,1248.26673683778,1257.43547425383,25106.8431938651,155,157
"Offshore","LK","DIC_umol_kg",0.503117295021768,0.041154859283776,12.2249791100636,1.72173242628854e-24,0.490885393864384,0.487600783502218,12.7271219648751,149.450114241491,1.72173242628854e-24,1,-621.133368418892,1248.26673683778,1257.43547425383,25106.8431938651,155,157
"Oceanic","UK","(Intercept)",1642.4748162575,190.338479233938,8.62923158190622,9.57247574043799e-10,0.326186038298826,0.304450104050401,11.4070761288725,15.0067641248253,0.000518053649885705,1,-126.123103610155,258.246207220311,262.73572990471,4033.76296010665,31,33
"Oceanic","UK","DIC_umol_kg",0.360614073058243,0.0930891667650346,3.87385649254403,0.000518053649885669,0.326186038298826,0.304450104050401,11.4070761288725,15.0067641248253,0.000518053649885705,1,-126.123103610155,258.246207220311,262.73572990471,4033.76296010665,31,33
"Oceanic","MK","(Intercept)",1595.23277357956,106.060580046816,15.0407698399858,6.46123852946068e-24,0.432906601304598,0.425030304100495,9.87315669009293,54.9632130538567,1.89561972342643e-10,1,-273.43434196328,552.868683926561,559.780879206173,7018.50405795312,72,74
"Oceanic","MK","DIC_umol_kg",0.384039262193662,0.0518011701467079,7.41371789683536,1.89561972342633e-10,0.432906601304598,0.425030304100495,9.87315669009293,54.9632130538567,1.89561972342643e-10,1,-273.43434196328,552.868683926561,559.780879206173,7018.50405795312,72,74
"Oceanic","LK","(Intercept)",1586.96851497188,100.853700600548,15.7353523521897,1.81360796510285e-25,0.452567994274492,0.445268900864819,8.93989079517081,62.0033158740929,2.06976915524117e-11,1,-276.915350469567,559.830700939135,566.862117204696,5994.12355721848,75,77
"Oceanic","LK","DIC_umol_kg",0.387623717135555,0.049226944948299,7.87421842941218,2.06976915524031e-11,0.452567994274492,0.445268900864819,8.93989079517081,62.0033158740929,2.06976915524117e-11,1,-276.915350469567,559.830700939135,566.862117204696,5994.12355721848,75,77
