"Zone","Sub_region","Season","Month2","Region","Tem_mean","Tem_sd","Tem_se","Sal_mean","Sal_sd","Sal_se","TA_mean","TA_sd","TA_se","nTA_mean","nTA_sd","DIC_mean","DIC_sd","DIC_se","nDIC_mean","nDIC_sd","pCO2_mean","pCO2_sd","pCO2_se","pH_mean","pH_sd","pH_se","Ara_mean","Ara_sd","Ara_se","n"
"Inshore","MK","Winter","Feb","FL",22.96,1.69,0.69,34.71,2.06,0.84,2447.74,88.49,36.13,2549.92,234.99,2093.72,96.17,39.26,2181.47,214.24,323.42,30.29,12.37,8.14,0.04,0.02,4,0.2,0.08,6
"Inshore","MK","Winter","Mar","FL",24.71,1.38,0.52,36.69,0.4,0.15,2414.77,34.13,12.9,2369.94,58.71,2060.33,43.7,16.52,2022.13,61.5,357.01,46.23,17.47,8.1,0.04,0.02,3.93,0.16,0.06,7
"Inshore","MK","Spring","Apr","FL",26.62,2.06,0.6,36.83,0.61,0.18,2346.95,40.4,11.66,2294.74,56.34,1943.73,56.15,16.21,1900.44,62.52,296.28,50.25,14.51,8.15,0.06,0.02,4.42,0.23,0.07,12
"Inshore","MK","Spring","May","FL",27.56,1.72,0.61,37.08,0.34,0.12,2312.21,37.14,13.13,2244.97,48.63,1899.93,52.4,18.53,1844.79,61.65,288.79,56.53,19.99,8.15,0.06,0.02,4.5,0.28,0.1,8
"Inshore","MK","Spring","Jun","FL",29.64,1.19,0.31,36.66,0.59,0.15,2261.71,85.32,22.03,2220.98,73.75,1899.02,85.47,22.07,1864.99,81.41,368.92,74.4,19.21,8.06,0.07,0.02,4.03,0.49,0.13,15
"Inshore","MK","Summer","Jul","FL",31.46,1.1,0.32,36.85,1.11,0.32,2238.31,102.24,29.51,2190.18,151.54,1922.3,94.07,27.15,1881.33,138.96,476.55,69.57,20.08,7.96,0.05,0.01,3.58,0.33,0.1,12
"Inshore","MK","Summer","Aug","FL",30.84,1.28,0.45,36.66,0.51,0.18,2255.61,117.77,41.64,2215.98,133.8,1921.24,94.74,33.5,1887.56,110.38,430.21,44.29,15.66,8,0.05,0.02,3.77,0.42,0.15,8
"Inshore","MK","Summer","Sep","FL",30.48,2.17,0.72,36.2,1.17,0.39,2283.5,95.25,31.75,2274.29,147.79,1989.58,111.12,37.04,1982.52,161.93,520.97,64.84,21.61,7.94,0.04,0.01,3.39,0.4,0.13,9
"Inshore","MK","Fall","Oct","FL",28.96,0.38,0.12,34.73,0.49,0.15,2350.86,41.95,13.26,2436.98,49.91,2052.68,51.26,16.21,2127.81,54.03,495.76,88.27,27.91,7.98,0.07,0.02,3.5,0.41,0.13,10
"Inshore","MK","Fall","Nov","FL",25.85,1.5,0.5,36.06,0.44,0.15,2370.35,23.35,7.78,2366.22,31.97,2077.83,42.76,14.25,2074.45,57.41,469.97,54.94,18.31,7.99,0.04,0.01,3.33,0.38,0.13,9
"Inshore","MK","Fall","Dec","FL",23.15,0.62,0.17,35.58,1.58,0.42,2441.5,59.56,15.92,2475.54,137.45,2141.76,69.94,18.69,2172.08,137.76,425.94,48.65,13,8.04,0.04,0.01,3.4,0.23,0.06,14
"Inshore","LK","Winter","Jan","FL",21.85,1.87,0.56,36.41,0.95,0.29,2372.27,81.24,24.49,2345.88,75.55,2106.14,78.65,23.71,2082.6,70.96,460.53,67.88,20.47,8.01,0.06,0.02,2.98,0.28,0.09,11
"Inshore","LK","Winter","Feb","FL",22.77,1.99,0.7,35.44,0.68,0.24,2420.97,47.38,16.75,2459.84,62.19,2101.3,50.3,17.78,2135.43,75,375.11,37.64,13.31,8.09,0.04,0.01,3.6,0.4,0.14,8
"Inshore","LK","Winter","Mar","FL",24.39,1.51,0.5,36.39,0.55,0.18,2384.59,36.14,12.05,2359.44,60.07,2035.92,49.44,16.48,2014.82,75.82,352.24,57.84,19.28,8.1,0.06,0.02,3.86,0.41,0.14,9
"Inshore","LK","Spring","Apr","FL",26.69,1.88,0.54,36.26,0.69,0.2,2293.27,67.54,19.5,2278.36,102.4,1935.43,82.24,23.74,1922.99,107.71,338,54.3,15.68,8.1,0.06,0.02,3.95,0.3,0.09,12
"Inshore","LK","Spring","May","FL",26.99,1.58,0.6,36.95,0.35,0.13,2224.87,58.43,22.09,2166.95,37.43,1872.19,59.39,22.45,1823.39,42.64,332.41,41.77,15.79,8.09,0.04,0.02,3.83,0.26,0.1,7
"Inshore","LK","Spring","Jun","FL",29.3,1.4,0.35,36.72,0.6,0.15,2246.86,75.57,18.89,2203.47,83.48,1917.99,69.37,17.34,1881.43,86.69,417.84,77.49,19.37,8.01,0.07,0.02,3.67,0.4,0.1,16
